phrase,target,file_path
"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009",positive,files/input/train\positive\0439.txt
"Net interest income totaled EUR 15.9 mn , compared to EUR 15.6 mn a year earlier",positive,files/input/train\positive\0440.txt
"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago",positive,files/input/train\positive\0441.txt
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier,positive,files/input/train\positive\0442.txt
"comparable operating profit totaled EUR 854mn , up from EUR 730mn in 2004",positive,files/input/train\positive\0443.txt
Finnish-Swedish TietoEnator is expanding its business quickly in Russia,positive,files/input/train\positive\0444.txt
"Finnish software developer Basware Oyj said on November 30 , 2006 its U.S. subsidiary Basware , Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company",positive,files/input/train\positive\0445.txt
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008,positive,files/input/train\positive\0446.txt
"For the current year , Raute expects its net sales to increase and the operating result -- to be positive",positive,files/input/train\positive\0447.txt
Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006,positive,files/input/train\positive\0448.txt
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+ï¿½rbindelsen bridge in Gothenburg in Sweden,positive,files/input/train\positive\0449.txt
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn",positive,files/input/train\positive\0450.txt
It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26,positive,files/input/train\positive\0451.txt
"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday",positive,files/input/train\positive\0452.txt
"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year",positive,files/input/train\positive\0453.txt
"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier",positive,files/input/train\positive\0454.txt
"`` The number of collection errors fell considerably , and operations speeded up",positive,files/input/train\positive\0455.txt
"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago",positive,files/input/train\positive\0456.txt
Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004,positive,files/input/train\positive\0457.txt
The real estate company posted a net loss of +ï¿½  x201a -ï¿½ 59.3 million +ï¿½  x201a -ï¿½ 0.21 per share compared with a net profit of +ï¿½  x201a -ï¿½ 31 million +ï¿½  x201a -ï¿½ 0.11 per share for the corresponding quarter of 2007,negative,files/input/train\negative\0000.txt
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years",negative,files/input/train\negative\0001.txt
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009",negative,files/input/train\negative\0002.txt
Finnish media group Talentum has issued a profit warning,negative,files/input/train\negative\0003.txt
Net profit fell by almost half to +ï¿½ 5.5 million from +ï¿½ 9.4 million at the end of 2007,negative,files/input/train\negative\0004.txt
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007,negative,files/input/train\negative\0005.txt
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42,negative,files/input/train\negative\0006.txt
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses",negative,files/input/train\negative\0007.txt
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 %,negative,files/input/train\negative\0008.txt
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate,negative,files/input/train\negative\0009.txt
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspon",negative,files/input/train\negative\0010.txt
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005",negative,files/input/train\negative\0011.txt
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008",negative,files/input/train\negative\0012.txt
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008",negative,files/input/train\negative\0013.txt
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million,negative,files/input/train\negative\0014.txt
Scanfil has also issued a profit warning,negative,files/input/train\negative\0015.txt
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red,negative,files/input/train\negative\0016.txt
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009,negative,files/input/train\negative\0017.txt
Finnish Bank of +ï¿½land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006,negative,files/input/train\negative\0018.txt
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003,negative,files/input/train\negative\0019.txt
"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said",negative,files/input/train\negative\0020.txt
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007,negative,files/input/train\negative\0021.txt
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009",negative,files/input/train\negative\0022.txt
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008",negative,files/input/train\negative\0023.txt
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008,negative,files/input/train\negative\0024.txt
"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added",negative,files/input/train\negative\0025.txt
"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year",negative,files/input/train\negative\0026.txt
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008",negative,files/input/train\negative\0027.txt
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries",negative,files/input/train\negative\0028.txt
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 %",negative,files/input/train\negative\0029.txt
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn",negative,files/input/train\negative\0030.txt
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme",negative,files/input/train\negative\0031.txt
"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier",negative,files/input/train\negative\0032.txt
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier",negative,files/input/train\negative\0033.txt
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 %",negative,files/input/train\negative\0034.txt
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008,negative,files/input/train\negative\0035.txt
"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn",negative,files/input/train\negative\0036.txt
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market",negative,files/input/train\negative\0037.txt
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn",negative,files/input/train\negative\0038.txt
"Operating profit decreased to nearly EUR 1.7 mn , however",negative,files/input/train\negative\0039.txt
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005",negative,files/input/train\negative\0040.txt
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project",negative,files/input/train\negative\0041.txt
"- Demand for fireplace products was lower than expected , especially in Germany",negative,files/input/train\negative\0042.txt
The move was triggered by weak demand for forestry equipment and the uncertain market situation,negative,files/input/train\negative\0043.txt
The situation of coated magazine printing paper will continue to be weak,negative,files/input/train\negative\0044.txt
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier",negative,files/input/train\negative\0045.txt
"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters",negative,files/input/train\negative\0046.txt
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier",negative,files/input/train\negative\0047.txt
"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn",negative,files/input/train\negative\0048.txt
"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations",negative,files/input/train\negative\0049.txt
"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn",negative,files/input/train\negative\0050.txt
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005",negative,files/input/train\negative\0051.txt
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009",negative,files/input/train\negative\0052.txt
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-ye",negative,files/input/train\negative\0053.txt
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008",negative,files/input/train\negative\0054.txt
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier",negative,files/input/train\negative\0055.txt
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 20",negative,files/input/train\negative\0056.txt
"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier",negative,files/input/train\negative\0057.txt
Sanoma News ' advertising sales decreased by 22 % during the year,negative,files/input/train\negative\0058.txt
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company",negative,files/input/train\negative\0059.txt
The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008,negative,files/input/train\negative\0060.txt
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier,negative,files/input/train\negative\0061.txt
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009,negative,files/input/train\negative\0062.txt
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ï¿½ ?",negative,files/input/train\negative\0063.txt
The net sales decreased to EUR 49.8 million from EUR 59.9 million,negative,files/input/train\negative\0064.txt
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007,negative,files/input/train\negative\0065.txt
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30",negative,files/input/train\negative\0066.txt
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn",negative,files/input/train\negative\0067.txt
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009",negative,files/input/train\negative\0068.txt
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day",negative,files/input/train\negative\0069.txt
"However , the growth margin slowed down due to the financial crisis",negative,files/input/train\negative\0070.txt
"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid",negative,files/input/train\negative\0071.txt
"Exports of goods fell by 59 % , and imports by 16.7 %",negative,files/input/train\negative\0072.txt
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn",negative,files/input/train\negative\0073.txt
"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3",negative,files/input/train\negative\0074.txt
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier",negative,files/input/train\negative\0075.txt
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year",negative,files/input/train\negative\0076.txt
Okmetic expects its net sales for the first half of 2009 to be less than in 2008,negative,files/input/train\negative\0077.txt
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100,negative,files/input/train\negative\0078.txt
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006,negative,files/input/train\negative\0079.txt
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004",negative,files/input/train\negative\0080.txt
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006",negative,files/input/train\negative\0081.txt
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008,negative,files/input/train\negative\0082.txt
"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 %",negative,files/input/train\negative\0083.txt
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007,negative,files/input/train\negative\0084.txt
Sales by Seppala diminished by 6 per cent,negative,files/input/train\negative\0085.txt
"In the building and home improvement trade , net sales totalled EUR 1,173 mn , down from EUR 1,566 mn a year earlier",negative,files/input/train\negative\0086.txt
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008",negative,files/input/train\negative\0087.txt
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009",negative,files/input/train\negative\0088.txt
Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007,negative,files/input/train\negative\0089.txt
"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009",negative,files/input/train\negative\0090.txt
"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009",negative,files/input/train\negative\0091.txt
"According to CEO Matti Perkonoja of the parent company HKScan , the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009",negative,files/input/train\negative\0092.txt
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before,negative,files/input/train\negative\0093.txt
Net sales fell by 5 % from the previous accounting period,negative,files/input/train\negative\0094.txt
23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year,negative,files/input/train\negative\0095.txt
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago,negative,files/input/train\negative\0096.txt
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct",negative,files/input/train\negative\0097.txt
"The OMX Helsinki index was down 0.34 pct at 8,256.02 on turnover of 813.191 mln eur",negative,files/input/train\negative\0098.txt
"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation",negative,files/input/train\negative\0099.txt
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 241.2 mn in 2006 , down from EUR 321.6 mn in 2005",negative,files/input/train\negative\0100.txt
"Food sales totalled EUR 323.5 mn in October 2009 , representing a decrease of 5.5 % from October 2008",negative,files/input/train\negative\0101.txt
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007",negative,files/input/train\negative\0102.txt
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005,negative,files/input/train\negative\0103.txt
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m",negative,files/input/train\negative\0104.txt
"Cash flow after investments amounted to EUR45m , down from EUR46m",negative,files/input/train\negative\0105.txt
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006,negative,files/input/train\negative\0106.txt
The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010,negative,files/input/train\negative\0107.txt
"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall",negative,files/input/train\negative\0108.txt
Prices and delivery volumes of broadband products decreased significantly in 2005,negative,files/input/train\negative\0109.txt
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008",negative,files/input/train\negative\0110.txt
Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers,negative,files/input/train\negative\0111.txt
Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres,negative,files/input/train\negative\0112.txt
Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million,negative,files/input/train\negative\0113.txt
Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULT,negative,files/input/train\negative\0114.txt
Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008,negative,files/input/train\negative\0115.txt
Cash Flow from Operations for the most recent quarter also reached a eight year low,negative,files/input/train\negative\0116.txt
EPS dropped to EUR0 .2 from EUR0 .3,negative,files/input/train\negative\0117.txt
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009",negative,files/input/train\negative\0118.txt
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes",negative,files/input/train\negative\0119.txt
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008",negative,files/input/train\negative\0120.txt
"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet",negative,files/input/train\negative\0121.txt
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009,negative,files/input/train\negative\0122.txt
"Publishing Sweden 's operating loss was EUR 1.1 mn in Q1 of 2009 , compared to a profit of EUR 0.6 mn a year ago",negative,files/input/train\negative\0123.txt
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier,negative,files/input/train\negative\0124.txt
Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005,negative,files/input/train\negative\0125.txt
"However , the net sales declined to EUR 803.6 million from EUR 1.2 billion",negative,files/input/train\negative\0126.txt
Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008,negative,files/input/train\negative\0127.txt
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005,negative,files/input/train\negative\0128.txt
"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same per",negative,files/input/train\negative\0129.txt
"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005",negative,files/input/train\negative\0130.txt
"Finnish electronics contract manufacturer Scanfil had net sales of EUR 52.2 mn in the first quarter of 2007 , down from EUR 60.1 mn a year before",negative,files/input/train\negative\0131.txt
"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008",negative,files/input/train\negative\0132.txt
Net sales have been eaten by the weak US dollar,negative,files/input/train\negative\0133.txt
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month",negative,files/input/train\negative\0134.txt
"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year",negative,files/input/train\negative\0135.txt
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009",negative,files/input/train\negative\0136.txt
"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007",negative,files/input/train\negative\0137.txt
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007,negative,files/input/train\negative\0138.txt
Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005,negative,files/input/train\negative\0139.txt
Ruukki Group calculates that it has lost EUR 4mn in the failed project,negative,files/input/train\negative\0140.txt
The operating margin came down to 2.4 % from 5.7 %,negative,files/input/train\negative\0141.txt
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008",negative,files/input/train\negative\0142.txt
Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007,negative,files/input/train\negative\0143.txt
"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies",negative,files/input/train\negative\0144.txt
"Operating profit fell to EUR 35.4 mn from EUR 68.8 mn in 2007 , including vessel sales gain of EUR 12.3 mn",negative,files/input/train\negative\0145.txt
Scanfil issued a profit warning on 10 April 2006,negative,files/input/train\negative\0146.txt
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago",negative,files/input/train\negative\0147.txt
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan",negative,files/input/train\negative\0148.txt
"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005",negative,files/input/train\negative\0149.txt
"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier",negative,files/input/train\negative\0150.txt
"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008",negative,files/input/train\negative\0151.txt
"Finnish shipping company Finnlines ' pretax loss totalled EUR 6.5 mn in the third quarter of 2009 , compared to a profit of EUR 0.3 mn in the third quarter of 2008",negative,files/input/train\negative\0152.txt
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue",negative,files/input/train\negative\0153.txt
"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007",negative,files/input/train\negative\0154.txt
Subscription sales decreased slightly,negative,files/input/train\negative\0155.txt
"Cerberus Capital Management LP-backed printing paper maker NewPage Corp. has posted mixed second-quarter results , casting a cloud over its planned initial public offering",negative,files/input/train\negative\0156.txt
Operating profit for 2009 lower than outlook published earlier,negative,files/input/train\negative\0157.txt
"Finnish plumbing and heating systems supplier Uponor 's net sales from continuing operations decreased by 9.4 % in 2008 to EUR 949.2 mn from EUR 1,047.4 mn in 2007",negative,files/input/train\negative\0158.txt
"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before",negative,files/input/train\negative\0159.txt
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008",negative,files/input/train\negative\0160.txt
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier,negative,files/input/train\negative\0161.txt
"Nokia shares hit 13.21 euros on Friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models",negative,files/input/train\negative\0162.txt
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn,negative,files/input/train\negative\0163.txt
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period",negative,files/input/train\negative\0164.txt
"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06",negative,files/input/train\negative\0165.txt
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales",negative,files/input/train\negative\0166.txt
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008",negative,files/input/train\negative\0167.txt
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007",negative,files/input/train\negative\0168.txt
"In Finland , the Bank of +ï¿½land reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007",negative,files/input/train\negative\0169.txt
Talentum 's net sales in September were smaller than expected,negative,files/input/train\negative\0170.txt
"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago",negative,files/input/train\negative\0171.txt
"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008",negative,files/input/train\negative\0172.txt
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007,negative,files/input/train\negative\0173.txt
Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004,negative,files/input/train\negative\0174.txt
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume",negative,files/input/train\negative\0175.txt
Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period,negative,files/input/train\negative\0176.txt
"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008",negative,files/input/train\negative\0177.txt
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue",negative,files/input/train\negative\0178.txt
